count,year,ampm,date,time
4,2006,pm,24,
2,2006,am,25,
4,2006,pm,25,
6,2006,am,26,
5,2006,pm,26,
3,2006,am,27,
6,2006,pm,29,
4,2006,am,30,
4,2006,pm,30,
3,2006,am,31,
3,2006,pm,31,
3,2006,pm,33,30
2,2006,am,34,40
3,2006,pm,34,45
1,2006,am,35,30
7,2006,pm,35,40
2,2006,am,36,40
7,2006,pm,36,70
3,2006,am,37,70
5,2006,pm,38,70
6,2006,am,39,40
5,2006,pm,39,75
4,2006,pm,40,60
6,2006,pm,43,45
0,2006,am,44,50
6,2006,pm,44,75
5,2006,am,45,40
6,2006,pm,46,85
6,2006,pm,47,90
4,2006,am,48,10
5,2006,pm,48,85
8,2006,am,49,25
8,2006,pm,49,90
7,2006,am,50,15
3,2006,pm,50,60
0,2006,am,51,40
2,2007,pm,22,70
5,2007,am,23,10
4,2007,pm,23,75
8,2007,am,24,20
3,2007,pm,24,70
4,2007,am,25,10
6,2007,pm,25,80
1,2007,am,26,15
5,2007,am,27,5
1,2007,pm,27,85
2,2007,am,28,20
4,2007,pm,28,75
3,2007,am,29,10
3,2007,pm,29,90
2,2007,am,30,20
2,2007,pm,31,110
3,2007,am,32,25
5,2007,pm,32,85
4,2007,am,33,5
4,2007,pm,33,85
6,2007,am,34,5
2,2007,pm,34,80
4,2007,am,35,10
3,2007,pm,35,75
4,2007,am,36,10
6,2007,pm,36,75
1,2007,am,37,55
7,2007,pm,38,90
6,2007,am,39,10
6,2007,pm,39,80
4,2007,am,40,10
3,2007,pm,40,90
3,2007,am,41,30
5,2007,pm,41,110
2,2007,am,42,25
2,2007,pm,42,40
2,2007,am,43,20
6,2007,pm,43,95
7,2007,pm,44,70
7,2007,am,45,20
4,2007,pm,45,105
6,2007,am,46,30
3,2007,pm,47,75
3,2007,am,48,25
8,2007,pm,48,100
5,2007,am,49,10
6,2007,pm,49,85
4,2007,am,50,25
1,2008,pm,26,65
6,2008,pm,28,60
6,2008,pm,29,70
7,2008,pm,30,70
6,2008,am,31,10
2,2008,pm,31,90
3,2008,am,32,10
6,2008,pm,33,65
6,2008,am,34,0
5,2008,pm,34,60
6,2008,am,35,0
1,2008,pm,35,75
4,2008,am,36,0
1,2008,pm,36,75
3,2008,am,37,0
6,2008,pm,37,60
5,2008,am,38,0
5,2008,pm,38,75
4,2008,pm,41,0
4,2008,am,42,15
3,2008,pm,42,40
4,2008,am,43,5
5,2008,am,44,0
4,2008,pm,45,60
6,2008,am,46,15
9,2008,pm,46,75
4,2008,am,47,25
4,2008,pm,47,50
2,2008,am,48,25
1,2008,pm,48,90
2,2008,am,49,35
2,2008,pm,49,100
1,2008,am,50,40
1,2009,pm,24,20
1,2009,am,25,40
0,2009,pm,25,
2,2009,am,26,
1,2009,pm,26,
2,2009,am,27,
4,2009,pm,28,
1,2009,am,30,50
4,2009,pm,30,75
0,2009,am,31,
1,2009,pm,33,50
2,2009,am,34,
1,2009,pm,34,
2,2009,am,35,30
2,2009,pm,35,55
4,2009,am,36,20
0,2009,pm,36,30
2,2009,pm,37,30
2,2009,am,38,20
5,2009,pm,38,60
3,2009,am,39,25
6,2009,pm,39,80
0,2009,am,40,25
0,2009,pm,42,50
2,2009,am,43,20
7,2009,pm,43,45
2,2009,am,44,20
2,2009,pm,44,60
3,2009,am,45,20
4,2009,pm,45,115
2,2009,am,46,40
2,2009,pm,46,45
2,2009,am,47,40
4,2009,pm,47,55
3,2009,am,48,10
3,2009,pm,49,10
2,2009,am,50,75
3,2010,pm,23,80
0,2010,am,24,85
3,2010,pm,24,85
1,2010,am,25,55
5,2010,pm,25,90
0,2010,am,26,55
2,2010,pm,27,115
0,2010,am,28,75
0,2010,pm,28,100
0,2010,am,29,50
0,2010,pm,29,110
1,2010,am,30,45
2,2010,pm,32,5
1,2010,am,33,0
1,2010,pm,33,75
0,2010,am,34,55
5,2010,pm,34,100
0,2010,am,35,25
6,2010,pm,35,80
1,2010,am,36,25
0,2010,pm,36,35
1,2010,pm,38,90
3,2010,pm,39,
1,2010,am,40,25
2,2010,pm,41,100
4,2010,am,42,40
6,2010,pm,42,80
2,2010,am,43,20
2,2010,pm,43,80
4,2010,am,44,20
1,2010,pm,44,65
2,2010,am,45,25
1,2010,pm,45,60
2,2010,am,46,10
2,2010,pm,46,80
3,2010,am,47,25
1,2010,pm,47,75
5,2010,am,48,10
1,2011,pm,33,30
0,2011,am,34,30
2,2011,pm,35,0
3,2011,am,36,60
0,2011,pm,36,30
0,2011,am,37,60
2,2011,pm,39,45
2,2011,am,40,30
0,2011,pm,40,75
0,2011,am,41,30
0,2011,pm,42,60
3,2011,am,43,0
0,2011,pm,43,60
1,2011,am,44,0
0,2011,pm,44,50
0,2011,am,45,15
0,2011,pm,47,55
0,2011,am,48,45
0,2011,pm,48,50
0,2011,am,49,60
3,2011,pm,49,80
2,2011,am,50,65
0,2011,pm,50,75
2,2011,am,51,10
1,2011,pm,51,75
2,2011,am,52,10
0,2011,pm,53,60
1,2011,am,54,10
3,2011,pm,56,70
0,2011,am,57,10
0,2011,pm,57,60
0,2011,am,58,20
0,2011,pm,60,80
0,2011,am,61,15
0,2012,pm,35,20
0,2012,am,36,30
0,2012,pm,37,35
0,2012,am,38,25
0,2012,pm,38,30
0,2012,am,39,20
1,2012,pm,40,69
0,2012,am,41,17
1,2012,pm,41,73
2,2012,am,42,4
1,2012,pm,44,40
0,2012,am,45,0
0,2012,pm,45,24
1,2012,am,46,0
1,2012,pm,46,35
1,2012,am,47,-8
0,2012,pm,48,30
4,2012,am,49,60
2,2012,pm,49,35
2,2012,am,50,36
4,2012,pm,50,25
4,2012,pm,53,47
5,2012,am,54,55
2,2012,pm,54,28
5,2012,am,55,69
2,2012,pm,55,18
6,2012,am,56,62
0,2012,pm,57,17
0,2012,am,58,74
0,2012,pm,58,22
5,2012,am,59,30
0,2012,pm,59,42
3,2012,am,60,55
0,2012,pm,66,-10
3,2012,am,67,60
2,2013,pm,33,15
0,2013,am,34,60
0,2013,am,38,70
1,2013,pm,39,64
0,2013,am,40,65
1,2013,pm,40,75
0,2013,am,41,80
3,2013,pm,42,80
0,2013,am,43,75
0,2013,pm,43,80
1,2013,am,44,70
